iter,loss,acc
0,2.38318,0.1027
10,2.22177,0.2186
20,2.12293,0.4263
30,2.02731,0.5117
40,1.95268,0.4227
50,1.84378,0.6213
60,1.75584,0.6297
70,1.66217,0.6751
80,1.57957,0.6453
90,1.49163,0.7355
100,1.4198,0.6958
110,1.34982,0.7057
120,1.27706,0.787
130,1.21664,0.7733
140,1.16079,0.7982
150,1.1051,0.8028
160,1.06041,0.7907
170,1.0235,0.7991
180,0.979279,0.8042
190,0.939342,0.8238
200,0.907827,0.8191
210,0.881997,0.83
220,0.855278,0.8152
230,0.825799,0.8303
240,0.80187,0.8341
250,0.783601,0.8414
260,0.762984,0.8305
270,0.749427,0.8485
280,0.723713,0.85
290,0.708053,0.8431
300,0.691558,0.8526
310,0.676368,0.8579
320,0.662425,0.8542
330,0.650779,0.856
340,0.638317,0.8624
350,0.628708,0.8583
360,0.617318,0.8584
370,0.604712,0.8663
380,0.59599,0.8629
390,0.589529,0.8621
400,0.578543,0.8687
410,0.571796,0.8658
420,0.563793,0.8701
430,0.559268,0.8671
440,0.552822,0.8654
450,0.542676,0.8695
460,0.535418,0.8741
470,0.529129,0.8765
480,0.523496,0.8759
490,0.516672,0.8765
500,0.512254,0.8764
510,0.5078,0.8792
520,0.503203,0.8791
530,0.49714,0.8791
540,0.492602,0.8796
550,0.488295,0.8828
560,0.484192,0.8822
570,0.482582,0.8829
580,0.478167,0.8813
590,0.47082,0.8849
600,0.468794,0.8856
610,0.467077,0.8815
620,0.460197,0.8874
630,0.457156,0.8876
640,0.454148,0.8886
650,0.451525,0.8889
660,0.449283,0.8865
670,0.448432,0.886
680,0.444447,0.8896
690,0.442839,0.8869
700,0.436466,0.8887
710,0.433338,0.8899
720,0.430127,0.8914
730,0.429264,0.8923
740,0.425315,0.8934
750,0.422159,0.8915
760,0.420345,0.8921
770,0.41744,0.8927
780,0.414405,0.8936
790,0.415631,0.8927
800,0.410262,0.8938
810,0.410517,0.8912
820,0.407419,0.8905
830,0.406,0.8941
840,0.404397,0.8953
850,0.40096,0.8954
860,0.399722,0.8944
870,0.398642,0.8972
880,0.395424,0.8954
890,0.393406,0.8964
900,0.392225,0.8962
910,0.390507,0.8952
920,0.391044,0.8974
930,0.386669,0.8968
940,0.386778,0.8982
950,0.384239,0.8979
960,0.384014,0.8983
970,0.382064,0.898
980,0.379796,0.8994
990,0.379524,0.8993
1000,0.378567,0.8973
1010,0.374935,0.8984
1020,0.374393,0.8984
1030,0.372505,0.9007
1040,0.374804,0.8975
1050,0.371237,0.9
1060,0.368319,0.8996
1070,0.367189,0.9008
1080,0.367202,0.9013
1090,0.365375,0.9014
1100,0.36425,0.8999
1110,0.363743,0.9014
1120,0.36297,0.9011
1130,0.362027,0.9013
1140,0.363561,0.9004
1150,0.360002,0.9031
1160,0.357794,0.9042
1170,0.35736,0.9037
1180,0.356307,0.9019
1190,0.360231,0.8997
1200,0.354603,0.9037
1210,0.353606,0.9041
1220,0.354347,0.9019
1230,0.351201,0.9028
1240,0.348902,0.9041
1250,0.348309,0.9044
1260,0.349656,0.9034
1270,0.34692,0.9039
1280,0.348113,0.9055
1290,0.345126,0.9056
1300,0.347726,0.9052
1310,0.346105,0.9045
1320,0.34364,0.9055
1330,0.343592,0.9041
1340,0.344038,0.9062
1350,0.341642,0.9052
1360,0.342694,0.9048
1370,0.338475,0.9045
1380,0.338963,0.905
1390,0.337565,0.9063
1400,0.335741,0.9063
1410,0.336804,0.9074
1420,0.335672,0.9063
1430,0.334121,0.9075
1440,0.333732,0.9082
1450,0.334574,0.9066
1460,0.333441,0.9075
1470,0.333593,0.9068
1480,0.333192,0.9079
1490,0.330185,0.9071
1500,0.331619,0.9075
1510,0.334523,0.9071
1520,0.328341,0.9085
1530,0.328509,0.909
1540,0.32797,0.9083
1550,0.327078,0.909
1560,0.327078,0.9094
1570,0.328521,0.908
1580,0.326134,0.9088
1590,0.325438,0.9082
1600,0.324712,0.9075
1610,0.32417,0.9097
1620,0.323446,0.9092
1630,0.32284,0.9081
1640,0.323848,0.908
1650,0.320435,0.9101
1660,0.3198,0.9112
1670,0.322114,0.91
1680,0.319718,0.911
1690,0.319864,0.9104
1700,0.319511,0.9107
1710,0.317929,0.9117
1720,0.318796,0.9105
1730,0.319113,0.909
1740,0.316169,0.9119
1750,0.315304,0.912
1760,0.31546,0.9123
1770,0.315499,0.9112
1780,0.317078,0.9108
1790,0.317003,0.9125
1800,0.3174,0.9123
1810,0.314579,0.9124
1820,0.312505,0.9128
1830,0.311667,0.9132
1840,0.312516,0.9131
1850,0.311484,0.9119
1860,0.311672,0.9116
1870,0.312106,0.9117
1880,0.311995,0.9128
1890,0.309465,0.9143
1900,0.309727,0.9139
1910,0.30885,0.9141
1920,0.308988,0.9124
1930,0.308655,0.9124
1940,0.307645,0.9129
1950,0.30732,0.9131
1960,0.306578,0.9125
1970,0.30759,0.9135
1980,0.30785,0.912
1990,0.311352,0.9129
2000,0.306568,0.9133
2010,0.304386,0.9136
2020,0.304205,0.9155
2030,0.306478,0.9136
2040,0.303484,0.9138
2050,0.304551,0.9148
2060,0.302243,0.9144
2070,0.303739,0.9138
2080,0.3038,0.9141
2090,0.301917,0.9151
2100,0.301702,0.9154
2110,0.300845,0.9151
2120,0.300801,0.9149
2130,0.302022,0.9158
2140,0.303734,0.9141
2150,0.299784,0.9143
2160,0.299679,0.9166
2170,0.297915,0.9153
2180,0.298401,0.9164
2190,0.299489,0.9152
2200,0.300024,0.9131
2210,0.297244,0.9148
2220,0.296432,0.9153
2230,0.299162,0.9148
2240,0.29618,0.9169
2250,0.295012,0.9163
2260,0.29543,0.9169
2270,0.296296,0.9162
2280,0.297117,0.9156
2290,0.294955,0.9164
2300,0.296592,0.9167
2310,0.294764,0.9167
2320,0.294007,0.917
2330,0.29372,0.9177
2340,0.295843,0.9173
2350,0.294677,0.9176
2360,0.297959,0.9161
2370,0.29368,0.9163
2380,0.291662,0.9174
2390,0.292651,0.9172
2400,0.29441,0.9173
2410,0.294434,0.9159
2420,0.292845,0.9182
2430,0.293378,0.9181
2440,0.29074,0.9185
2450,0.290661,0.9177
2460,0.289472,0.9185
2470,0.290329,0.9172
2480,0.288643,0.9189
2490,0.288369,0.918
2500,0.289702,0.9183
2510,0.28932,0.9174
2520,0.291921,0.9178
2530,0.290003,0.9182
2540,0.289451,0.9181
2550,0.288915,0.9185
2560,0.285938,0.919
2570,0.287127,0.919
2580,0.286982,0.9191
2590,0.28643,0.9196
2600,0.287394,0.9182
2610,0.286248,0.9187
2620,0.288609,0.9178
2630,0.287865,0.917
2640,0.285211,0.9189
2650,0.285573,0.9195
2660,0.285931,0.9192
2670,0.287314,0.9195
2680,0.283085,0.9193
2690,0.282452,0.919
2700,0.282534,0.9202
2710,0.28382,0.9189
2720,0.282357,0.9191
2730,0.281704,0.92
2740,0.28453,0.9186
2750,0.281047,0.9205
2760,0.283735,0.9204
2770,0.28081,0.9207
2780,0.281605,0.9207
2790,0.282905,0.9206
2800,0.282321,0.9211
2810,0.279256,0.9207
2820,0.279322,0.9212
2830,0.278991,0.9207
2840,0.279354,0.9211
2850,0.280686,0.9205
2860,0.279038,0.9208
2870,0.278921,0.9212
2880,0.279431,0.9199
2890,0.278111,0.9218
2900,0.277168,0.9214
2910,0.277346,0.9229
2920,0.276955,0.9228
2930,0.277173,0.9236
2940,0.276679,0.9227
2950,0.276586,0.9226
2960,0.27728,0.9211
2970,0.276631,0.9235
2980,0.276978,0.9236
2990,0.275562,0.923
3000,0.27626,0.9224
3010,0.276412,0.9235
3020,0.277383,0.9213
3030,0.276346,0.9229
3040,0.277631,0.9215
3050,0.276491,0.922
3060,0.273947,0.9227
3070,0.274288,0.9235
3080,0.273237,0.924
3090,0.273959,0.9247
3100,0.272863,0.9243
3110,0.274684,0.9229
3120,0.274934,0.9234
3130,0.272191,0.9238
3140,0.272409,0.9246
3150,0.274019,0.9242
3160,0.273063,0.9256
3170,0.272031,0.9241
3180,0.2726,0.9237
3190,0.272064,0.9231
3200,0.27115,0.9263
3210,0.271496,0.924
3220,0.270647,0.9253
3230,0.270749,0.9248
3240,0.27019,0.9245
3250,0.271144,0.9239
3260,0.270333,0.9234
3270,0.270887,0.9244
3280,0.271156,0.9234
3290,0.272773,0.9227
3300,0.271401,0.9233
3310,0.268741,0.9249
3320,0.269823,0.9234
3330,0.267602,0.9241
3340,0.267584,0.925
3350,0.267634,0.9243
3360,0.268221,0.925
3370,0.268762,0.9248
3380,0.268662,0.9249
3390,0.266744,0.9249
3400,0.269785,0.9221
3410,0.267622,0.924
3420,0.269394,0.9235
3430,0.267268,0.9236
3440,0.267513,0.925
3450,0.268513,0.9239
3460,0.270476,0.9224
3470,0.265339,0.9262
3480,0.266633,0.9253
3490,0.265655,0.9254
3500,0.267642,0.9245
3510,0.266844,0.9251
3520,0.264934,0.9259
3530,0.265579,0.9254
3540,0.266193,0.9253
3550,0.264688,0.9255
3560,0.267647,0.9248
3570,0.267136,0.9246
3580,0.265415,0.926
3590,0.263792,0.9257
3600,0.263226,0.9253
3610,0.262635,0.9264
3620,0.263977,0.9255
3630,0.263174,0.927
3640,0.263694,0.9268
3650,0.262875,0.9264
3660,0.261938,0.9279
3670,0.262173,0.9275
3680,0.262587,0.9261
3690,0.261976,0.9258
3700,0.261678,0.9263
3710,0.262665,0.926
3720,0.262408,0.9259
3730,0.261558,0.926
3740,0.260638,0.9261
3750,0.260219,0.9275
3760,0.26049,0.9277
3770,0.260563,0.9278
3780,0.260291,0.9276
3790,0.258995,0.9273
3800,0.257541,0.9286
3810,0.257968,0.9291
3820,0.259494,0.9259
3830,0.257209,0.9286
3840,0.257383,0.928
3850,0.259564,0.9277
3860,0.257342,0.9288
3870,0.258417,0.9286
3880,0.257691,0.9288
3890,0.257779,0.9286
3900,0.260633,0.9274
3910,0.257331,0.9278
3920,0.258987,0.9264
3930,0.256572,0.928
3940,0.25675,0.927
3950,0.256978,0.9271
3960,0.258026,0.9285
3970,0.258402,0.9278
3980,0.258242,0.9273
3990,0.255847,0.9286
4000,0.256331,0.929
