iter,loss,acc
0,2.24915,0.7055
10,1.81066,0.7465
20,1.51128,0.7953
30,1.30404,0.807
40,1.15679,0.8218
50,1.04877,0.8265
60,0.965856,0.8342
70,0.90126,0.8377
80,0.848682,0.8432
90,0.806177,0.8458
100,0.769869,0.8505
110,0.73888,0.8548
120,0.712529,0.8571
130,0.689466,0.8596
140,0.668983,0.8626
150,0.650708,0.8643
160,0.634537,0.8665
170,0.619878,0.8669
180,0.606766,0.8671
190,0.594574,0.8703
200,0.583574,0.8717
210,0.573441,0.873
220,0.564035,0.8738
230,0.5553,0.8744
240,0.547277,0.876
250,0.539749,0.8769
260,0.532496,0.8775
270,0.525954,0.8781
280,0.519675,0.879
290,0.514002,0.8798
300,0.508305,0.8798
310,0.502898,0.8807
320,0.498158,0.8816
330,0.493408,0.8821
340,0.488994,0.8826
350,0.484582,0.8835
360,0.480463,0.8844
370,0.476687,0.8845
380,0.472947,0.8847
390,0.469261,0.8853
400,0.466021,0.8848
410,0.462627,0.8863
420,0.459461,0.8869
430,0.456553,0.8867
440,0.453594,0.8872
450,0.450872,0.8878
460,0.448085,0.8883
470,0.445364,0.8897
480,0.443071,0.8892
490,0.440408,0.8896
500,0.438099,0.8897
510,0.43591,0.89
520,0.433653,0.8901
530,0.431587,0.8905
540,0.429468,0.891
550,0.427484,0.8911
560,0.425505,0.8913
570,0.4236,0.892
580,0.421768,0.8926
590,0.419958,0.8928
600,0.418236,0.8929
610,0.416558,0.8936
620,0.415008,0.8944
630,0.413227,0.8946
640,0.411778,0.895
650,0.410151,0.8949
660,0.408736,0.8948
670,0.407349,0.8953
680,0.405818,0.8956
690,0.40446,0.8959
700,0.403101,0.8961
710,0.401758,0.8964
720,0.40048,0.8969
730,0.39925,0.8971
740,0.398029,0.8976
750,0.396749,0.898
760,0.395619,0.8977
770,0.394422,0.8985
780,0.393211,0.8982
790,0.392132,0.8984
800,0.391232,0.8986
810,0.38999,0.8983
820,0.389041,0.899
830,0.387798,0.8997
840,0.386871,0.8995
850,0.38601,0.8988
860,0.385062,0.8996
870,0.384138,0.8995
880,0.383197,0.8993
890,0.382151,0.8995
900,0.381187,0.8997
910,0.380448,0.8998
920,0.379678,0.8998
930,0.378825,0.9004
940,0.378003,0.8999
950,0.377066,0.9
960,0.376313,0.9006
970,0.375421,0.9003
980,0.3748,0.9008
990,0.373891,0.901
1000,0.373134,0.9002
1010,0.372419,0.9012
1020,0.371708,0.901
1030,0.370917,0.9014
1040,0.370276,0.9014
1050,0.369518,0.9019
1060,0.369005,0.9018
1070,0.368104,0.9024
1080,0.367464,0.9021
1090,0.366855,0.9026
1100,0.366173,0.903
1110,0.36565,0.903
1120,0.364914,0.9032
1130,0.364309,0.9038
1140,0.363704,0.9038
1150,0.363084,0.9039
1160,0.362542,0.9044
1170,0.361932,0.9039
1180,0.361317,0.9044
1190,0.360845,0.9043
1200,0.360276,0.9046
1210,0.35967,0.9049
1220,0.359082,0.9049
1230,0.358505,0.9047
1240,0.358026,0.9053
1250,0.357446,0.9052
1260,0.356952,0.905
1270,0.356378,0.9054
1280,0.35603,0.9054
1290,0.355426,0.9055
1300,0.355029,0.9055
1310,0.354477,0.9055
1320,0.35397,0.9058
1330,0.353412,0.9062
1340,0.352964,0.9061
1350,0.352734,0.9058
1360,0.352128,0.9067
1370,0.351684,0.9063
1380,0.351265,0.9063
1390,0.350713,0.9064
1400,0.350213,0.9068
1410,0.349865,0.9066
1420,0.349527,0.907
1430,0.348907,0.9068
1440,0.348443,0.9071
1450,0.348118,0.9074
1460,0.347897,0.9073
1470,0.347346,0.907
1480,0.346943,0.9072
1490,0.346611,0.907
1500,0.346188,0.9071
1510,0.3458,0.9075
1520,0.345358,0.9074
1530,0.345018,0.9073
1540,0.344637,0.9074
1550,0.344359,0.9075
1560,0.343862,0.9077
1570,0.343488,0.9078
1580,0.343132,0.9077
1590,0.342755,0.9079
1600,0.342474,0.9082
1610,0.342094,0.9082
1620,0.341716,0.9077
1630,0.341339,0.908
1640,0.34104,0.9082
1650,0.34066,0.908
1660,0.340328,0.9084
1670,0.340043,0.9085
1680,0.339667,0.9082
1690,0.339388,0.9083
1700,0.339003,0.9085
1710,0.338796,0.9088
1720,0.338358,0.9085
1730,0.338095,0.9087
1740,0.337668,0.9088
1750,0.337485,0.9084
1760,0.33721,0.9092
1770,0.336938,0.909
1780,0.336627,0.9093
1790,0.336221,0.9095
1800,0.336065,0.9089
1810,0.335646,0.9093
1820,0.335273,0.909
1830,0.335068,0.9096
1840,0.334849,0.9096
1850,0.334428,0.9095
1860,0.334367,0.9099
1870,0.333951,0.9098
1880,0.333679,0.9098
1890,0.333444,0.9096
1900,0.33318,0.9097
1910,0.332915,0.9101
1920,0.332608,0.9098
1930,0.332398,0.9101
1940,0.332062,0.9104
1950,0.331848,0.9102
1960,0.331605,0.9102
1970,0.331344,0.9103
1980,0.330984,0.9102
1990,0.330828,0.9104
2000,0.330724,0.9105
2010,0.330346,0.9104
2020,0.330031,0.9107
2030,0.329776,0.9108
2040,0.329594,0.911
2050,0.329299,0.9109
2060,0.329171,0.9109
2070,0.328876,0.9108
2080,0.328703,0.9108
2090,0.328373,0.9113
2100,0.328152,0.9114
2110,0.328072,0.9113
2120,0.327812,0.9111
2130,0.327582,0.9113
2140,0.327252,0.9112
2150,0.327095,0.9112
2160,0.326793,0.9111
2170,0.326555,0.9118
2180,0.326403,0.9119
2190,0.326184,0.9117
2200,0.325986,0.9118
2210,0.325831,0.9122
2220,0.325544,0.9122
2230,0.32531,0.912
