iter,loss,acc
0,2.30146,0.108
10,2.29038,0.5132
20,2.27939,0.5736
30,2.26879,0.6055
40,2.25779,0.6837
50,2.24696,0.6756
60,2.23619,0.6771
70,2.2256,0.6704
80,2.21518,0.6835
90,2.20542,0.6933
100,2.19553,0.7139
110,2.18548,0.7139
120,2.17604,0.7249
130,2.16598,0.7163
140,2.15644,0.723
150,2.14678,0.719
160,2.13678,0.7249
170,2.1272,0.7337
180,2.11764,0.7341
190,2.10842,0.7415
200,2.09886,0.7464
210,2.0896,0.7452
220,2.0804,0.7447
230,2.07158,0.7446
240,2.06235,0.7447
250,2.05338,0.7394
260,2.04459,0.7397
270,2.03572,0.74
280,2.02686,0.7412
290,2.01818,0.7449
300,2.0096,0.7432
310,2.00124,0.7464
320,1.99263,0.7451
330,1.9841,0.7449
340,1.97569,0.7439
350,1.9672,0.7434
360,1.95915,0.7478
370,1.95104,0.7451
380,1.94282,0.7458
390,1.9347,0.7466
400,1.92664,0.7479
410,1.91844,0.7469
420,1.91043,0.7495
430,1.90249,0.7505
440,1.89482,0.7518
450,1.88699,0.7529
460,1.87948,0.7535
470,1.87197,0.7514
480,1.86455,0.7538
490,1.85702,0.7532
500,1.84966,0.7548
510,1.84224,0.7557
520,1.83477,0.756
530,1.82763,0.7573
540,1.82035,0.7568
550,1.81314,0.7568
560,1.80589,0.7567
570,1.79879,0.7588
580,1.79161,0.76
590,1.7846,0.7626
600,1.77762,0.7627
610,1.77058,0.7642
620,1.76386,0.7662
630,1.75731,0.7667
640,1.75059,0.7649
650,1.74395,0.7659
660,1.7373,0.7686
670,1.73074,0.7696
680,1.72429,0.7702
690,1.71774,0.7719
700,1.71126,0.772
710,1.70491,0.7729
720,1.69862,0.7741
730,1.69239,0.7738
740,1.68624,0.7736
750,1.68,0.7747
760,1.67391,0.7752
770,1.66798,0.7768
780,1.662,0.7755
790,1.65601,0.7775
800,1.65001,0.7777
810,1.64415,0.778
820,1.63841,0.7778
830,1.63263,0.7782
840,1.62692,0.7801
850,1.62125,0.7809
860,1.61547,0.781
870,1.60991,0.7808
880,1.6042,0.7811
890,1.59878,0.7826
900,1.5932,0.784
910,1.58779,0.7854
920,1.58233,0.7858
930,1.57704,0.7858
940,1.57166,0.7872
950,1.56629,0.7864
960,1.56097,0.7882
970,1.55593,0.7887
980,1.55066,0.789
990,1.54544,0.7915
1000,1.54034,0.792
1010,1.53519,0.7917
1020,1.53014,0.7917
1030,1.52508,0.7922
1040,1.52014,0.7931
1050,1.51508,0.7933
1060,1.51025,0.7947
1070,1.50541,0.7943
1080,1.50059,0.7954
1090,1.4957,0.7948
1100,1.49094,0.7946
1110,1.4863,0.7955
1120,1.48166,0.7962
1130,1.47706,0.7962
1140,1.47239,0.7958
1150,1.46785,0.7972
1160,1.46335,0.7992
1170,1.45892,0.7998
1180,1.4545,0.7988
1190,1.45011,0.7992
1200,1.4457,0.7998
1210,1.44138,0.8005
1220,1.437,0.8008
1230,1.43261,0.8002
1240,1.42833,0.8007
1250,1.42402,0.8012
1260,1.41972,0.8017
1270,1.41549,0.8016
1280,1.41141,0.8027
1290,1.40712,0.8027
1300,1.40291,0.8036
1310,1.39875,0.8033
1320,1.39464,0.8039
1330,1.39062,0.8031
1340,1.38654,0.8033
1350,1.38248,0.8032
1360,1.37861,0.8031
1370,1.37468,0.8038
1380,1.37079,0.8028
1390,1.36712,0.803
1400,1.36327,0.8026
1410,1.3593,0.8038
1420,1.3555,0.8049
1430,1.35173,0.8051
1440,1.34795,0.8049
1450,1.34428,0.8056
1460,1.34055,0.8054
1470,1.33695,0.8055
1480,1.33323,0.8061
1490,1.3296,0.8067
1500,1.32602,0.8071
1510,1.32253,0.8073
1520,1.31891,0.8077
1530,1.31527,0.8083
1540,1.31172,0.8083
1550,1.30824,0.8079
1560,1.30476,0.8092
1570,1.30136,0.8091
1580,1.29791,0.8098
1590,1.29454,0.8104
1600,1.29114,0.811
1610,1.28779,0.8115
1620,1.28448,0.8126
1630,1.2812,0.8133
1640,1.27783,0.8136
1650,1.27461,0.8133
1660,1.27138,0.8134
1670,1.26811,0.8133
1680,1.2649,0.8131
1690,1.26173,0.8134
1700,1.25865,0.8135
1710,1.25554,0.8137
1720,1.25248,0.8137
1730,1.24942,0.8141
1740,1.24627,0.8144
1750,1.24321,0.8142
1760,1.2402,0.814
1770,1.23716,0.814
1780,1.23422,0.814
1790,1.23129,0.8145
1800,1.22831,0.8157
1810,1.22546,0.8156
1820,1.22255,0.8153
1830,1.21969,0.8159
1840,1.21684,0.8164
1850,1.21403,0.8169
1860,1.21113,0.8165
1870,1.20841,0.8166
1880,1.20562,0.8168
1890,1.20282,0.8168
1900,1.20004,0.8169
1910,1.19732,0.8176
1920,1.19458,0.8174
1930,1.19184,0.8177
1940,1.18912,0.8169
1950,1.18651,0.8165
1960,1.18381,0.817
1970,1.18123,0.8177
1980,1.17857,0.8181
1990,1.17593,0.8187
2000,1.1734,0.8188
2010,1.17085,0.8187
2020,1.16831,0.8193
2030,1.16576,0.8198
2040,1.16323,0.82
2050,1.16069,0.8197
2060,1.15819,0.8202
2070,1.1557,0.8205
2080,1.15318,0.8204
2090,1.15072,0.8207
