iter,loss,acc
0,2.13593,0.3332
10,0.818269,0.7616
20,0.606716,0.8458
30,0.55975,0.8369
40,0.507794,0.8514
50,0.454239,0.8747
60,0.421666,0.8863
70,0.420324,0.8832
80,0.408597,0.8904
90,0.397135,0.8926
100,0.399581,0.887
110,0.388901,0.8923
120,0.380848,0.8918
130,0.364423,0.8994
140,0.354979,0.9033
150,0.357614,0.9011
160,0.356246,0.905
170,0.35443,0.8997
180,0.355032,0.9035
190,0.344558,0.9047
200,0.33631,0.9082
210,0.344176,0.9053
220,0.343359,0.9066
230,0.329761,0.9093
240,0.331052,0.906
250,0.33418,0.9081
260,0.342562,0.9051
270,0.333655,0.9067
280,0.320631,0.9127
290,0.33498,0.9057
300,0.32034,0.9108
310,0.319311,0.9137
320,0.321273,0.9084
330,0.314382,0.9122
340,0.320049,0.9102
350,0.31108,0.9123
360,0.319445,0.9089
370,0.319809,0.9114
380,0.308462,0.9119
390,0.310245,0.9126
400,0.310073,0.9106
410,0.308095,0.9138
420,0.305102,0.9135
430,0.309131,0.9112
440,0.306006,0.9132
450,0.310402,0.9126
460,0.305526,0.9144
470,0.308006,0.9107
480,0.307479,0.9128
490,0.301046,0.917
500,0.298202,0.9172
510,0.304332,0.9143
520,0.302636,0.9177
530,0.304413,0.9155
540,0.31117,0.9133
550,0.304116,0.9123
560,0.304705,0.9126
570,0.303522,0.9154
580,0.313592,0.9114
590,0.298773,0.915
600,0.298201,0.9164
610,0.300646,0.9176
620,0.298944,0.9154
630,0.304959,0.9147
640,0.305603,0.9134
650,0.295569,0.917
660,0.300132,0.9163
670,0.301606,0.915
680,0.304356,0.9157
690,0.296682,0.9157
700,0.296344,0.9172
710,0.29878,0.9162
720,0.299537,0.917
730,0.298283,0.9165
740,0.300273,0.9154
750,0.293159,0.9184
760,0.295599,0.9161
770,0.291879,0.9184
780,0.296272,0.9168
790,0.294197,0.9169
800,0.292105,0.9211
810,0.293208,0.9145
820,0.29976,0.9153
830,0.30046,0.9149
840,0.293345,0.9186
850,0.300988,0.9129
860,0.291414,0.9192
870,0.297638,0.9167
880,0.292404,0.9186
890,0.310176,0.9108
900,0.29735,0.9152
910,0.295182,0.9148
920,0.297162,0.9145
930,0.29361,0.9186
940,0.299158,0.9159
950,0.29176,0.9161
960,0.292921,0.9176
970,0.297167,0.9143
980,0.291634,0.9166
990,0.298202,0.9139
1000,0.298887,0.913
1010,0.29853,0.9123
1020,0.296453,0.9156
1030,0.29457,0.9145
