iter,loss,acc
0,2.24762,0.2683
10,1.81384,0.7226
20,1.51802,0.7687
30,1.30616,0.7885
40,1.16033,0.8133
50,1.05109,0.8245
60,0.967996,0.8282
70,0.902243,0.8379
80,0.852809,0.8369
90,0.807737,0.8441
100,0.770313,0.85
110,0.743761,0.8534
120,0.714263,0.8527
130,0.689696,0.8596
140,0.669688,0.8604
150,0.651799,0.861
160,0.634052,0.8631
170,0.621513,0.8688
180,0.608517,0.8684
190,0.596858,0.867
200,0.583766,0.8683
210,0.57391,0.8726
220,0.565197,0.8722
230,0.556459,0.871
240,0.547733,0.8755
250,0.540067,0.8773
260,0.533061,0.8772
270,0.526814,0.8774
280,0.522136,0.8768
290,0.515034,0.8788
300,0.508073,0.8805
310,0.503492,0.8803
320,0.498428,0.88
330,0.494256,0.8805
340,0.489979,0.885
350,0.485138,0.8836
360,0.480328,0.8835
370,0.477527,0.8827
380,0.472539,0.8845
390,0.468978,0.8856
400,0.466322,0.8872
410,0.463085,0.886
420,0.459523,0.8847
430,0.456405,0.8877
440,0.452972,0.8874
450,0.450522,0.8872
460,0.449627,0.8879
470,0.445361,0.8879
480,0.443034,0.8896
490,0.441623,0.8875
500,0.438712,0.889
510,0.436122,0.8886
520,0.435065,0.8899
530,0.431395,0.8904
540,0.429243,0.8913
550,0.428097,0.8904
560,0.426256,0.8898
570,0.423629,0.8912
580,0.421873,0.8919
590,0.421329,0.8908
600,0.418971,0.8914
610,0.416688,0.8919
620,0.415311,0.8937
630,0.414744,0.8943
640,0.412436,0.8939
650,0.4105,0.895
660,0.409564,0.8927
670,0.407741,0.895
680,0.406183,0.8957
690,0.405208,0.8953
700,0.403139,0.8953
710,0.401899,0.8973
720,0.400008,0.8965
730,0.398493,0.8961
740,0.398026,0.8946
750,0.396754,0.8965
760,0.395907,0.8969
770,0.39508,0.8977
780,0.393202,0.8967
790,0.392422,0.8973
800,0.392317,0.8984
810,0.389931,0.8985
820,0.389917,0.8973
830,0.388262,0.8977
840,0.38632,0.8996
850,0.384703,0.8982
860,0.383635,0.899
870,0.382961,0.8992
880,0.383363,0.8989
890,0.381936,0.8994
900,0.381854,0.8999
910,0.38054,0.9003
920,0.379897,0.9012
930,0.379181,0.8996
940,0.378332,0.9005
950,0.378982,0.9006
960,0.376783,0.9017
970,0.377076,0.9009
980,0.375168,0.9014
990,0.3748,0.9011
1000,0.374947,0.9003
1010,0.373105,0.9024
1020,0.372846,0.9004
1030,0.370885,0.9022
1040,0.370475,0.9028
1050,0.370331,0.9019
1060,0.369838,0.902
1070,0.369263,0.9011
1080,0.368881,0.9016
1090,0.369069,0.9026
1100,0.369239,0.9014
1110,0.368109,0.9018
1120,0.368078,0.9014
1130,0.365263,0.9023
1140,0.364886,0.905
1150,0.365136,0.9045
1160,0.364672,0.9048
1170,0.362822,0.9031
1180,0.362566,0.9041
1190,0.361135,0.9047
1200,0.360779,0.9038
1210,0.360405,0.9033
1220,0.360379,0.9031
1230,0.358821,0.9038
1240,0.357824,0.904
1250,0.35795,0.9044
1260,0.357085,0.9047
1270,0.356577,0.9051
1280,0.356059,0.9051
1290,0.357689,0.9044
1300,0.356409,0.9048
1310,0.355255,0.9049
1320,0.354693,0.9053
1330,0.354158,0.9053
1340,0.352361,0.9056
1350,0.352098,0.9065
1360,0.351608,0.9064
1370,0.3511,0.9055
1380,0.351156,0.9068
1390,0.350729,0.906
1400,0.350083,0.9061
1410,0.349762,0.9062
1420,0.348875,0.9074
1430,0.349052,0.9065
1440,0.348618,0.9062
1450,0.349097,0.9075
1460,0.349603,0.9065
1470,0.348013,0.9068
1480,0.348502,0.907
1490,0.347481,0.9072
1500,0.346639,0.906
1510,0.346779,0.9058
1520,0.345308,0.9079
1530,0.345364,0.9078
1540,0.345503,0.9072
1550,0.345399,0.9072
1560,0.345749,0.9072
1570,0.344567,0.9077
1580,0.343224,0.908
1590,0.342901,0.9079
1600,0.342823,0.9084
1610,0.342372,0.9078
1620,0.342314,0.9082
