iter,loss,acc
0,2.30651,0.1383
10,2.30012,0.1177
20,2.29778,0.101
30,2.25615,0.2902
40,2.24562,0.1968
50,2.19352,0.28
60,2.13949,0.3277
70,2.04973,0.4492
80,1.92777,0.4623
90,1.80107,0.4364
100,1.6508,0.5208
110,1.50695,0.5495
120,1.37112,0.5909
130,1.27341,0.6308
140,1.19355,0.6791
150,1.11074,0.643
160,1.04646,0.6936
170,0.994671,0.7215
180,0.934585,0.7481
190,0.886235,0.7284
200,0.856867,0.7615
210,0.801846,0.7841
220,0.775275,0.7821
230,0.739244,0.786
240,0.703921,0.8244
250,0.679967,0.8169
260,0.656263,0.8277
270,0.656535,0.8015
280,0.607545,0.8425
290,0.5928,0.8432
300,0.564589,0.8561
310,0.552584,0.8484
320,0.539831,0.8604
330,0.517269,0.8619
340,0.504247,0.8642
350,0.507075,0.8618
360,0.482918,0.8718
370,0.476581,0.875
380,0.467457,0.8732
390,0.464613,0.8717
400,0.445376,0.8795
410,0.440676,0.88
420,0.43845,0.8783
430,0.426816,0.8842
440,0.443093,0.8702
450,0.411991,0.8879
460,0.414689,0.883
470,0.39947,0.8874
480,0.394043,0.8902
490,0.393922,0.8889
500,0.391455,0.887
510,0.383377,0.8929
520,0.375479,0.8943
530,0.381111,0.8919
540,0.366169,0.8982
550,0.368201,0.8941
560,0.362967,0.8966
570,0.356534,0.8997
580,0.35915,0.9006
590,0.361348,0.8944
600,0.35461,0.8997
610,0.352168,0.8991
620,0.349345,0.8992
630,0.34263,0.9033
640,0.337586,0.9046
650,0.36021,0.896
660,0.334075,0.9048
670,0.33841,0.9033
680,0.343045,0.8993
690,0.324162,0.9058
700,0.331842,0.9033
710,0.3406,0.9039
720,0.324974,0.9041
730,0.323452,0.9077
740,0.317992,0.9076
750,0.324479,0.9045
760,0.338184,0.9024
770,0.319862,0.9068
780,0.313562,0.9074
790,0.311789,0.9085
800,0.302976,0.9142
810,0.317782,0.9077
820,0.310339,0.9094
830,0.3047,0.9115
840,0.297251,0.9135
850,0.298995,0.9136
860,0.303234,0.9131
870,0.30064,0.9119
880,0.300085,0.9128
890,0.301265,0.913
900,0.297369,0.9136
910,0.293589,0.9158
920,0.30314,0.9106
930,0.295243,0.9147
940,0.296472,0.9136
950,0.313506,0.9069
960,0.283631,0.9176
970,0.288264,0.913
980,0.284192,0.9156
990,0.285569,0.9207
1000,0.284366,0.9148
1010,0.286987,0.9164
1020,0.287365,0.9158
1030,0.281466,0.916
