iter,loss,acc
0,1.44461,0.5464
10,1.50003,0.675
20,0.662697,0.8184
30,1.11694,0.7724
40,0.435843,0.8812
50,0.398454,0.8834
60,0.422756,0.8752
70,0.547874,0.8422
80,0.343228,0.9044
90,0.345166,0.9029
100,0.363704,0.8951
110,0.341466,0.9031
120,0.448444,0.8758
130,0.351712,0.8987
140,0.370454,0.8922
150,0.350039,0.8951
160,0.684249,0.8371
170,0.349552,0.9005
180,0.340745,0.9048
190,0.306142,0.9151
200,0.302773,0.9162
210,0.300439,0.916
220,0.326307,0.9054
230,0.429969,0.8722
240,1.30211,0.8074
250,0.305687,0.9164
260,0.311531,0.9139
270,0.312711,0.9127
280,0.309429,0.9152
290,0.553318,0.8371
300,0.350304,0.9
310,0.331519,0.9101
320,0.403001,0.8884
330,0.31134,0.9167
340,0.294326,0.9188
350,0.292181,0.9181
360,0.312045,0.9104
370,0.31081,0.9098
380,0.365026,0.892
390,0.288005,0.9172
400,0.344355,0.9009
410,0.516289,0.8521
420,0.308803,0.9145
430,0.301074,0.9142
440,0.289238,0.9209
450,0.383308,0.8893
460,0.292973,0.9198
470,0.295565,0.9168
480,0.307049,0.9134
490,0.302833,0.9173
500,0.299585,0.9159
510,0.382046,0.8937
520,0.290803,0.9202
530,0.308235,0.913
540,0.315405,0.9088
550,0.759215,0.8311
560,0.291122,0.9196
570,0.283915,0.9207
580,0.294846,0.9167
590,0.288786,0.9172
600,0.381865,0.8873
610,0.427126,0.8833
620,0.296604,0.9177
630,0.30068,0.9159
640,0.284149,0.9203
650,0.281612,0.9196
660,0.300917,0.9153
670,0.298837,0.9151
680,0.27871,0.9237
690,0.862496,0.8249
700,0.409827,0.8774
710,0.315989,0.9143
720,0.299374,0.9158
730,0.290936,0.9186
740,0.343019,0.8996
750,0.289487,0.9193
760,0.278974,0.9194
770,0.319619,0.9092
780,0.330099,0.9069
790,0.301633,0.9156
800,0.28334,0.9213
810,0.472162,0.8692
820,0.327206,0.9068
830,0.284338,0.9229
840,0.293694,0.9168
850,0.296303,0.9172
860,0.315669,0.9098
870,0.281858,0.9223
880,0.353309,0.896
890,0.29407,0.9184
900,0.313925,0.9129
910,0.278658,0.922
920,0.285814,0.9203
930,0.289555,0.9177
940,0.289493,0.9184
950,0.321017,0.9102
960,0.293246,0.9181
970,0.389347,0.8945
980,0.370035,0.8903
990,0.286306,0.9205
1000,0.313944,0.9114
1010,0.288772,0.918
1020,0.306914,0.9139
1030,0.340127,0.906
1040,0.296842,0.9166
1050,0.2824,0.9212
1060,0.346103,0.9021
1070,0.296797,0.9182
1080,0.294533,0.917
1090,0.312683,0.9093
1100,0.339469,0.9088
1110,0.290753,0.9206
1120,0.285534,0.9203
1130,0.280308,0.9234
1140,0.305558,0.9166
1150,0.281206,0.9191
1160,0.284674,0.9186
1170,0.328131,0.907
1180,0.288154,0.9223
1190,0.288818,0.9202
1200,0.304061,0.9156
1210,0.274641,0.9221
1220,0.276639,0.9226
1230,0.274493,0.9235
1240,0.325988,0.9091
1250,0.312404,0.9103
1260,0.295969,0.9164
1270,0.299589,0.915
1280,0.293918,0.9167
1290,0.298824,0.9172
1300,0.377001,0.8949
1310,0.312353,0.9148
1320,0.439335,0.8773
1330,0.303472,0.9148
1340,0.317919,0.9115
1350,0.282513,0.9253
1360,0.387301,0.8901
1370,0.320825,0.9071
1380,0.288303,0.9192
1390,0.292919,0.9192
1400,0.321621,0.9065
1410,0.289343,0.9185
1420,0.290971,0.9202
1430,0.373868,0.8909
1440,0.358988,0.8952
1450,0.348875,0.9057
1460,0.292297,0.9206
1470,0.308084,0.9144
1480,0.313157,0.916
1490,0.305717,0.9125
1500,0.301331,0.9131
1510,0.297979,0.9154
1520,0.304712,0.9154
1530,0.287523,0.9206
1540,0.308012,0.9137
